"_date","station","lng_type","time_group","ke","oal"
2021-04-04,ICN,FR,BK,1,0
2021-04-04,ICN,MR,BK,9,0
2021-04-04,ICN,MR,DN,2,0
2021-04-04,ICN,MR,LN,4,0
2021-04-04,ICN,PR,BK,62,9
2021-04-04,ICN,PR,DN,36,6
2021-04-04,ICN,PR,LN,29,5
2021-04-05,ICN,FR,DN,1,0
2021-04-05,ICN,FR,LN,2,0
2021-04-05,ICN,MR,BK,4,0
2021-04-05,ICN,MR,DN,1,0
2021-04-05,ICN,MR,LN,3,0
2021-04-05,ICN,PR,BK,37,19
2021-04-05,ICN,PR,DN,14,22
2021-04-05,ICN,PR,LN,39,3
2021-04-06,ICN,MR,DN,4,0
2021-04-06,ICN,MR,LN,5,0
2021-04-06,ICN,PR,BK,21,2
2021-04-06,ICN,PR,DN,34,17
2021-04-06,ICN,PR,LN,27,9
2021-04-07,ICN,FR,BK,2,0
2021-04-07,ICN,FR,LN,1,0
2021-04-07,ICN,MR,BK,10,0
2021-04-07,ICN,MR,DN,6,0
2021-04-07,ICN,MR,LN,4,0
2021-04-07,ICN,PR,BK,105,3
2021-04-07,ICN,PR,DN,28,4
2021-04-07,ICN,PR,LN,32,2
2021-04-08,ICN,FR,DN,1,0
2021-04-08,ICN,MR,BK,6,0
2021-04-08,ICN,MR,DN,7,0
2021-04-08,ICN,MR,LN,2,0
2021-04-08,ICN,PR,BK,35,6
2021-04-08,ICN,PR,DN,32,16
2021-04-08,ICN,PR,LN,32,4
2021-04-09,ICN,FR,LN,1,0
2021-04-09,ICN,MR,DN,1,0
2021-04-09,ICN,MR,LN,12,0
2021-04-09,ICN,PR,BK,50,12
2021-04-09,ICN,PR,DN,15,6
2021-04-09,ICN,PR,LN,100,13
2021-04-10,ICN,FR,BK,3,0
2021-04-10,ICN,MR,BK,4,0
2021-04-10,ICN,MR,DN,3,0
2021-04-10,ICN,MR,LN,2,0
2021-04-10,ICN,PR,BK,50,19
2021-04-10,ICN,PR,DN,27,15
2021-04-10,ICN,PR,LN,35,8
2021-04-11,ICN,FR,BK,3,0
2021-04-11,ICN,FR,LN,2,0
2021-04-11,ICN,MR,BK,3,0
2021-04-11,ICN,MR,DN,3,0
2021-04-11,ICN,MR,LN,5,0
2021-04-11,ICN,PR,BK,52,7
2021-04-11,ICN,PR,DN,41,13
2021-04-11,ICN,PR,LN,49,14
2021-04-12,ICN,MR,BK,5,0
2021-04-12,ICN,MR,DN,5,0
2021-04-12,ICN,MR,LN,4,0
2021-04-12,ICN,PR,BK,32,5
2021-04-12,ICN,PR,DN,16,14
2021-04-12,ICN,PR,LN,42,0
2021-04-13,ICN,FR,DN,1,0
2021-04-13,ICN,MR,BK,2,0
2021-04-13,ICN,MR,DN,3,0
2021-04-13,ICN,MR,LN,2,0
2021-04-13,ICN,PR,BK,28,0
2021-04-13,ICN,PR,DN,27,16
2021-04-13,ICN,PR,LN,31,2
2021-04-14,ICN,FR,BK,1,0
2021-04-14,ICN,FR,DN,1,0
2021-04-14,ICN,MR,BK,6,0
2021-04-14,ICN,MR,DN,4,2
2021-04-14,ICN,MR,LN,10,0
2021-04-14,ICN,PR,BK,77,3
2021-04-14,ICN,PR,DN,34,3
2021-04-14,ICN,PR,LN,68,5
2021-04-15,ICN,FR,BK,4,0
2021-04-15,ICN,FR,DN,2,0
2021-04-15,ICN,MR,BK,12,0
2021-04-15,ICN,MR,DN,6,0
2021-04-15,ICN,PR,BK,55,4
2021-04-15,ICN,PR,DN,18,14
2021-04-15,ICN,PR,LN,22,3
2021-04-16,ICN,FR,LN,1,0
2021-04-16,ICN,MR,BK,4,0
2021-04-16,ICN,MR,DN,2,0
2021-04-16,ICN,MR,LN,12,0
2021-04-16,ICN,PR,BK,44,23
2021-04-16,ICN,PR,DN,19,1
2021-04-16,ICN,PR,LN,93,3
2021-04-17,ICN,FR,DN,2,0
2021-04-17,ICN,MR,BK,4,0
2021-04-17,ICN,MR,DN,5,0
2021-04-17,ICN,MR,LN,2,0
2021-04-17,ICN,PR,BK,59,17
2021-04-17,ICN,PR,DN,12,10
2021-04-17,ICN,PR,LN,24,7
2021-04-18,ICN,FR,BK,1,0
2021-04-18,ICN,FR,DN,3,0
2021-04-18,ICN,MR,BK,5,0
2021-04-18,ICN,MR,DN,7,0
2021-04-18,ICN,MR,LN,3,0
2021-04-18,ICN,PR,BK,62,13
2021-04-18,ICN,PR,DN,36,12
2021-04-18,ICN,PR,LN,41,4
2021-04-19,ICN,FR,BK,1,0
2021-04-19,ICN,FR,LN,1,0
2021-04-19,ICN,MR,BK,4,0
2021-04-19,ICN,MR,DN,4,0
2021-04-19,ICN,MR,LN,10,0
2021-04-19,ICN,PR,BK,31,6
2021-04-19,ICN,PR,DN,15,18
2021-04-19,ICN,PR,LN,25,0
2021-04-20,ICN,MR,BK,1,0
2021-04-20,ICN,MR,DN,3,0
2021-04-20,ICN,MR,LN,3,0
2021-04-20,ICN,PR,BK,25,3
2021-04-20,ICN,PR,DN,15,6
2021-04-20,ICN,PR,LN,39,3
2021-04-21,ICN,FR,BK,2,0
2021-04-21,ICN,MR,BK,17,0
2021-04-21,ICN,MR,DN,2,0
2021-04-21,ICN,MR,LN,2,0
2021-04-21,ICN,PR,BK,91,1
2021-04-21,ICN,PR,DN,33,1
2021-04-21,ICN,PR,LN,33,4
2021-04-22,ICN,FR,BK,2,0
2021-04-22,ICN,MR,BK,5,0
2021-04-22,ICN,PR,BK,41,11
2021-04-22,ICN,PR,DN,30,24
2021-04-22,ICN,PR,LN,20,7
2021-04-23,ICN,FR,LN,1,0
2021-04-23,ICN,MR,BK,6,0
2021-04-23,ICN,MR,DN,2,0
2021-04-23,ICN,MR,LN,9,0
2021-04-23,ICN,PR,BK,36,29
2021-04-23,ICN,PR,DN,30,6
2021-04-23,ICN,PR,LN,79,15
